id,guide_id,visitor_id,tour_date,rating,comments,feedback_categories,submitted_date,is_public,status,park_id,created_at,updated_at
26,36,19,2025-03-20 07:40:36,5,Very knowledgeable about local flora and fauna.,"[""knowledge""]",2025-05-15 07:40:36,1,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
27,36,17,2025-04-10 07:40:36,1,Needs more training on park history and wildlife. Needs to focus more on group awareness and safety.,"[""knowledge"",""safety""]",2025-05-15 07:40:36,1,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
28,42,38,2025-03-21 07:40:36,1,Needs more training on park history and wildlife. Made everyone feel welcomed.,"[""knowledge"",""friendliness""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
29,42,46,2025-05-03 07:40:36,5,Excellent explanation throughout the tour. Guide arrived 15 minutes late.,"[""communication"",""punctuality""]",2025-05-15 07:40:36,1,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
30,47,38,2025-04-26 07:40:36,5,Felt a bit rushed and unorganized. Tour was delayed unnecessarily.,"[""experience"",""punctuality""]",2025-05-15 07:40:36,0,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
31,47,41,2025-03-13 07:40:36,5,Could improve clarity in speech and responses to questions. Arrived on time and started the tour promptly.,"[""communication"",""punctuality""]",2025-05-15 07:40:36,0,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
32,48,44,2025-04-08 07:40:36,2,Struggled to answer some basic questions.,"[""knowledge""]",2025-05-15 07:40:36,1,approved,1,2025-05-15 07:40:36,2025-05-15 07:40:36
33,48,49,2025-03-07 07:40:36,1,The guide communicated very clearly and confidently.,"[""communication""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
34,51,7,2025-02-25 07:40:36,5,The tour was fun and well-paced. Guide arrived 15 minutes late.,"[""experience"",""punctuality""]",2025-05-15 07:40:36,0,approved,2,2025-05-15 07:40:36,2025-05-15 07:40:36
35,51,25,2025-03-06 07:40:36,5,Ensured we followed safety protocols at all times. Needs to work on interpersonal skills.,"[""safety"",""friendliness""]",2025-05-15 07:40:36,1,approved,1,2025-05-15 07:40:36,2025-05-15 07:40:36
36,52,6,2025-04-27 07:40:36,4,Needs more training on park history and wildlife. Felt secure and informed during the hike.,"[""knowledge"",""safety""]",2025-05-15 07:40:36,0,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
37,52,44,2025-05-02 07:40:36,2,Very knowledgeable about local flora and fauna. Very respectful of everyone’s time.,"[""knowledge"",""punctuality""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
38,54,25,2025-04-10 07:40:36,4,The guide communicated very clearly and confidently. Struggled to answer some basic questions.,"[""communication"",""knowledge""]",2025-05-15 07:40:36,1,approved,3,2025-05-15 07:40:36,2025-05-15 07:40:36
39,54,20,2025-05-14 07:40:36,1,Needs to focus more on group awareness and safety.,"[""safety""]",2025-05-15 07:40:36,0,approved,2,2025-05-15 07:40:36,2025-05-15 07:40:36
40,55,46,2025-04-15 07:40:36,5,The guide communicated very clearly and confidently. Could improve on storytelling to enhance experience.,"[""communication"",""experience""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
41,55,38,2025-03-18 07:40:36,3,Tour was delayed unnecessarily.,"[""punctuality""]",2025-05-15 07:40:36,1,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
42,56,19,2025-05-09 07:40:36,2,Needs more training on park history and wildlife.,"[""knowledge""]",2025-05-15 07:40:36,0,approved,3,2025-05-15 07:40:36,2025-05-15 07:40:36
43,56,8,2025-03-08 07:40:36,3,Impressed with the depth of knowledge. Was a bit distant and unengaging.,"[""knowledge"",""friendliness""]",2025-05-15 07:40:36,0,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
44,3,12,2025-04-18 07:40:43,1,The tour was fun and well-paced. The guide was very friendly and approachable.,"[""experience"",""friendliness""]",2025-05-15 07:40:43,0,approved,4,2025-05-15 07:40:43,2025-05-15 07:40:43
45,3,28,2025-03-16 07:40:43,2,Ensured we followed safety protocols at all times.,"[""safety""]",2025-05-15 07:40:43,1,approved,1,2025-05-15 07:40:43,2025-05-15 07:40:43
46,4,28,2025-02-22 07:40:43,2,Struggled to answer some basic questions. Felt secure and informed during the hike.,"[""knowledge"",""safety""]",2025-05-15 07:40:43,0,approved,1,2025-05-15 07:40:43,2025-05-15 07:40:43
47,4,18,2025-03-12 07:40:43,3,The guide communicated very clearly and confidently. Very knowledgeable about local flora and fauna.,"[""communication"",""knowledge""]",2025-05-15 07:40:43,0,approved,3,2025-05-15 07:40:43,2025-05-15 07:40:43
48,5,33,2025-04-11 07:40:43,2,Needs more training on park history and wildlife. Ensured we followed safety protocols at all times.,"[""knowledge"",""safety""]",2025-05-15 07:40:43,0,approved,4,2025-05-15 07:40:43,2025-05-15 07:40:43
49,5,41,2025-04-15 07:40:43,3,Needs to work on interpersonal skills.,"[""friendliness""]",2025-05-15 07:40:43,1,approved,3,2025-05-15 07:40:43,2025-05-15 07:40:43
50,14,7,2025-05-14 07:40:43,3,Guide arrived 15 minutes late.,"[""punctuality""]",2025-05-15 07:40:43,1,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
51,14,16,2025-04-03 07:40:43,5,Was a bit distant and unengaging.,"[""friendliness""]",2025-05-15 07:40:43,1,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
52,15,41,2025-03-03 07:40:43,3,Excellent explanation throughout the tour.,"[""communication""]",2025-05-15 07:40:43,1,approved,4,2025-05-15 07:40:43,2025-05-15 07:40:43
53,15,17,2025-04-17 07:40:43,5,Impressed with the depth of knowledge.,"[""knowledge""]",2025-05-15 07:40:43,1,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
54,22,12,2025-03-10 07:40:43,4,The tour was fun and well-paced. Very respectful of everyone’s time.,"[""experience"",""punctuality""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
55,22,6,2025-03-11 07:40:43,4,Tour was delayed unnecessarily.,"[""punctuality""]",2025-05-15 07:40:43,1,approved,4,2025-05-15 07:40:43,2025-05-15 07:40:43
56,23,38,2025-02-27 07:40:43,2,Could improve clarity in speech and responses to questions. Very knowledgeable about local flora and fauna.,"[""communication"",""knowledge""]",2025-05-15 07:40:43,0,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
57,23,44,2025-05-05 07:40:43,4,The tour was fun and well-paced. The guide was very friendly and approachable.,"[""experience"",""friendliness""]",2025-05-15 07:40:43,1,approved,4,2025-05-15 07:40:43,2025-05-15 07:40:43
58,24,6,2025-04-02 07:40:43,3,Arrived on time and started the tour promptly. Was a bit distant and unengaging.,"[""punctuality"",""friendliness""]",2025-05-15 07:40:43,1,approved,4,2025-05-15 07:40:43,2025-05-15 07:40:43
59,24,7,2025-03-03 07:40:43,3,Excellent explanation throughout the tour. Felt secure and informed during the hike.,"[""communication"",""safety""]",2025-05-15 07:40:43,1,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
60,26,50,2025-04-06 07:40:43,3,Very knowledgeable about local flora and fauna. Made everyone feel welcomed.,"[""knowledge"",""friendliness""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
61,26,50,2025-02-15 07:40:43,4,Impressed with the depth of knowledge. Very engaging and enjoyable experience.,"[""knowledge"",""experience""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
62,29,12,2025-04-04 07:40:43,4,Was a bit distant and unengaging.,"[""friendliness""]",2025-05-15 07:40:43,1,approved,1,2025-05-15 07:40:43,2025-05-15 07:40:43
63,29,17,2025-04-28 07:40:43,4,Excellent explanation throughout the tour. Felt secure and informed during the hike.,"[""communication"",""safety""]",2025-05-15 07:40:43,0,approved,3,2025-05-15 07:40:43,2025-05-15 07:40:43
64,34,28,2025-03-04 07:40:43,5,Needs more training on park history and wildlife.,"[""knowledge""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
65,34,44,2025-04-14 07:40:43,1,Needs to focus more on group awareness and safety. Needs to work on interpersonal skills.,"[""safety"",""friendliness""]",2025-05-15 07:40:43,1,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
66,36,19,2025-04-15 07:40:43,2,Very knowledgeable about local flora and fauna. Guide arrived 15 minutes late.,"[""knowledge"",""punctuality""]",2025-05-15 07:40:43,0,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
67,36,33,2025-05-03 07:40:43,3,Impressed with the depth of knowledge.,"[""knowledge""]",2025-05-15 07:40:43,0,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
68,42,28,2025-03-25 07:40:43,4,Excellent explanation throughout the tour. The tour was fun and well-paced.,"[""communication"",""experience""]",2025-05-15 07:40:43,0,approved,3,2025-05-15 07:40:43,2025-05-15 07:40:43
69,42,38,2025-04-16 07:40:43,4,Could improve clarity in speech and responses to questions.,"[""communication""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
70,47,44,2025-03-31 07:40:43,1,Could improve clarity in speech and responses to questions. Needs to work on interpersonal skills.,"[""communication"",""friendliness""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
71,47,49,2025-03-04 07:40:43,4,Impressed with the depth of knowledge.,"[""knowledge""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
72,48,8,2025-05-08 07:40:43,3,Could improve clarity in speech and responses to questions.,"[""communication""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
73,48,50,2025-03-30 07:40:43,4,Could improve clarity in speech and responses to questions.,"[""communication""]",2025-05-15 07:40:43,1,approved,1,2025-05-15 07:40:43,2025-05-15 07:40:43
74,51,38,2025-05-14 07:40:43,4,Had difficulty explaining complex topics. Needs to focus more on group awareness and safety.,"[""communication"",""safety""]",2025-05-15 07:40:43,1,approved,3,2025-05-15 07:40:43,2025-05-15 07:40:43
75,51,38,2025-04-12 07:40:43,5,Was a bit distant and unengaging.,"[""friendliness""]",2025-05-15 07:40:43,0,approved,3,2025-05-15 07:40:43,2025-05-15 07:40:43
76,52,28,2025-05-05 07:40:43,5,Could improve on storytelling to enhance experience.,"[""experience""]",2025-05-15 07:40:43,0,approved,3,2025-05-15 07:40:43,2025-05-15 07:40:43
77,52,19,2025-05-02 07:40:43,4,Had difficulty explaining complex topics.,"[""communication""]",2025-05-15 07:40:43,1,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
78,54,44,2025-02-21 07:40:43,3,Struggled to answer some basic questions. Guide arrived 15 minutes late.,"[""knowledge"",""punctuality""]",2025-05-15 07:40:43,1,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
79,54,18,2025-04-10 07:40:43,1,Needs to focus more on group awareness and safety.,"[""safety""]",2025-05-15 07:40:43,1,approved,4,2025-05-15 07:40:43,2025-05-15 07:40:43
80,55,44,2025-02-23 07:40:43,3,Very knowledgeable about local flora and fauna.,"[""knowledge""]",2025-05-15 07:40:43,0,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
81,55,6,2025-03-24 07:40:43,1,Needs to work on interpersonal skills.,"[""friendliness""]",2025-05-15 07:40:43,0,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
82,56,17,2025-04-07 07:40:43,2,Needs to focus more on group awareness and safety. Needs to work on interpersonal skills.,"[""safety"",""friendliness""]",2025-05-15 07:40:43,1,approved,2,2025-05-15 07:40:43,2025-05-15 07:40:43
83,56,16,2025-03-04 07:40:43,4,The tour was fun and well-paced.,"[""experience""]",2025-05-15 07:40:43,0,approved,5,2025-05-15 07:40:43,2025-05-15 07:40:43
